JobId,JobTitle,Location,Budget,ProviderId,TotalApplications,ApprovedApplications,RejectedApplications,CreatedDate
2,First Posting,Sankhamul, Kathmandu,1000.00,1001,5,3,1,4/21/2026 10:43:42 AM
5,Backend Develooper,Sankhamul, Kathmandu,10000.00,1001,4,2,0,4/22/2026 10:47:59 AM
6,refactored Test,Kathmandu, Nepal,1000.00,1001,4,2,1,4/23/2026 5:15:05 AM
8,Try this now ,Bhatkekopul,100.00,1001,3,0,1,4/23/2026 5:36:53 AM
1011,Notification test,KTM ,10.00,1001,2,2,0,4/27/2026 4:16:25 AM
1012,asdsa,asd,1222.00,1001,2,2,0,4/28/2026 11:21:04 AM
1014,Test Banned,saas,10.00,1001,1,1,0,4/29/2026 7:55:34 AM
1016,Hello,World,100.00,1001,1,1,0,5/4/2026 5:02:28 AM
1017,Hello Test,Lokanthali,1000.00,1001,1,1,0,5/4/2026 7:10:31 AM
1018,SignalTesting,Sankhamul,1000.00,1001,1,1,0,5/4/2026 7:46:56 AM
1019,Backend Dev,Remote,500.00,1001,0,0,0,5/4/2026 9:36:58 AM
1020,Backend Developer,Remote,500.00,1001,0,0,0,5/4/2026 10:10:48 AM
1021,Frontend Developer,Remote,400.00,1001,0,0,0,5/4/2026 10:10:49 AM
1022,Data Analyst,New York,300.00,1001,0,0,0,5/4/2026 10:10:49 AM
1023,Backend Developer,Remote,500.00,1001,0,0,0,5/4/2026 10:10:51 AM
1024,Frontend Developer,Remote,400.00,1001,0,0,0,5/4/2026 10:10:51 AM
1025,Data Analyst,New York,300.00,1001,0,0,0,5/4/2026 10:10:51 AM
1026,Backend Developer,Remote,500.00,1001,0,0,0,5/4/2026 10:13:39 AM
1027,Data Analyst Pytorch,New York,300.00,1001,0,0,0,5/4/2026 10:15:08 AM
1028, .NET,Remote,500.00,1001,0,0,0,5/4/2026 10:28:03 AM
1029,Dev,Remote,500.00,1001,0,0,0,5/4/2026 10:34:00 AM
1030,DEVExtreme,Remote,100.00,1001,0,0,0,5/4/2026 10:34:00 AM
1031,.NET,Remote,500.00,1001,0,0,0,5/4/2026 10:41:05 AM
1032,Angular,Remote,400.00,1001,0,0,0,5/4/2026 10:41:05 AM
1042,.NET,Remote,500.00,1001,0,0,0,5/5/2026 5:31:02 AM
1043,.NET,Remote,500.00,1001,0,0,0,5/5/2026 5:33:18 AM
1044,Angular,Remote,400.00,1001,1,1,0,5/5/2026 5:33:18 AM
1045,Data Analyst Pytorch,New York,300.00,1001,1,1,0,5/5/2026 5:33:18 AM
1047,A,Remote,500.00,1001,1,0,0,5/5/2026 6:01:16 AM
1048,B,Remote,400.00,1001,1,1,0,5/5/2026 6:01:16 AM
1064,Test 1,SSS,1.00,1001,0,0,0,5/6/2026 7:47:59 AM
1065,Budget test,as,1000.00,1001,0,0,0,5/6/2026 9:45:27 AM
1066,asd,asd,11.00,1001,0,0,0,5/6/2026 9:57:10 AM
1067,Form test,Form,1000.00,1001,0,0,0,5/7/2026 4:46:39 AM
1068,Form Check,Sankhamul,1111.00,1001,0,0,0,5/7/2026 4:55:10 AM
1069,Form Checking,lkj,322.00,1001,0,0,0,5/7/2026 4:55:59 AM
1070,ABCD,asjdlaskj,1000.00,1001,1,1,0,5/7/2026 5:04:00 AM
1071,Hello World,asda,10000.00,1001,2,2,0,5/7/2026 10:20:21 AM
1072,Hello1,asd,1000.00,1001,2,1,0,5/7/2026 10:22:10 AM
1073,Web Developer,Kathmandu,1000.00,1011,1,0,0,5/8/2026 6:46:12 AM
1074,Backend,Ssankhamul,1000.00,1011,2,1,0,5/8/2026 7:06:37 AM
1075,Email Test 2,string,1000.00,1011,1,0,0,5/8/2026 8:09:09 AM
1076,Ban Test,Kathmandu,2000.00,1011,0,0,0,5/11/2026 4:29:40 AM
1077,Testing Ban,Sankhamul,1000.00,1001,2,2,0,5/11/2026 7:27:03 AM
